index,trial_url,Study (disease • registry),Disease Category,Disease Area,Method,Enrollment (target),Countries (per CMN page),In US?,Start year,Last-updated year,Gene-editing method,Gene-editing category,Phase 1,Phase 2,Phase 3,Countries (per CMN page),,China,#ERROR!
25,https://crisprmedicinenews.com/clinical-trial/b-cell-acute-lymphoblastic-leukaemia-b-all-nct03666000/,"Phase 1/2a, Open-label, Dose-escalation, Dose-expansion Study to Evaluate Safety and Clinical Activity of PBCAR0191 in Subjects With Relapsed/Refractory (r/r) Non-Hodgkin Lymphoma (NHL) and r/r B-cell Acute Lymphoblastic Leukemia (B-ALL)",B-cell Acute Lymphoblastic Leukaemia,Haematological malignancies (blood cancers),Ex-vivo,120,United States,Yes,2019,2025,Meganucleases,Other,1,1,0,United States,,,
26,https://crisprmedicinenews.com/clinical-trial/b-cell-lymphoma-bcl-nct05934097/,"A Phase 1b, Open-Label, Multicenter Study of FT596 in Combination With R-CHOP in Subjects With B-Cell Lymphoma",B-Cell Lymphoma,Haematological malignancies (blood cancers),Ex-vivo,0,,No,2022,2025,Gene enhancement,Epigenetic editing,1,0,0,,,,
27,https://crisprmedicinenews.com/clinical-trial/b-cell-non-hodgkin-lymphoma-nhl-nct04213469/,A Safety and Efficacy Evaluation of PD1-CD19-CART in Patients With Relapse/Refractory B-cell Lymphoma,B-Cell Non-Hodgkin lymphoma,Haematological malignancies (blood cancers),Ex-vivo,20,China,No,2020,2025,CRISPR-Cas9,CRISPR-Cas,1,1,0,China,,1,
28,https://crisprmedicinenews.com/clinical-trial/b-cell-non-hodgkin-lymphoma-nhl-nct04649112/,A Phase 1 Study of PBCAR19B in Participants With CD19-expressing Malignancies,B-Cell Non-Hodgkin Lymphoma,Haematological malignancies (blood cancers),Ex-vivo,13,United States,Yes,2021,2025,Meganucleases,Other,1,0,0,United States,,,
29,https://crisprmedicinenews.com/clinical-trial/b-cell-non-hodgkin-lymphoma-nhl-nct05169489/,"A Phase 1/2 Study of bbT369, a Dual Targeting CAR T Cell Drug Product With a Gene Edit, in Relapsed and/or Refractory B Cell Non-Hodgkin's Lymphoma (NHL)",B-Cell Non-Hodgkin Lymphoma,Haematological malignancies (blood cancers),Ex-vivo,50,United States,Yes,2022,2025,megaTAL,Other,1,1,0,United States,,,
30,https://crisprmedicinenews.com/clinical-trial/b-cell-non-hodgkin-lymphoma-nhl-nct05631912/,Autologous TRAC Locus-inserted CD19-targeting Synthetic T-cell Receptor Antigen Receptor T (STAR-T) Cells for Relapsed/Refractory B-cell Non-Hodgkin's Lymphoma,B-Cell Non-Hodgkin Lymphoma,Haematological malignancies (blood cancers),Ex-vivo,38,China,No,2023,2025,CRISPR-Cas9,CRISPR-Cas,1,1,0,China,,1,
31,https://crisprmedicinenews.com/clinical-trial/b-cell-non-hodgkin-lymphoma-nhl-nct06014073/,A Phase 1/2 Single-center Study Evaluating the Safety and Efficacy of TRAC and Power3 Genes Knock-out Allogeneic CD19-targeting CAR-T Cell (ATHENA) Therapy in Adults With Refractory/Relapsed B-cell Non-Hodgkin Lymphoma,B-Cell Non-Hodgkin Lymphoma,Haematological malignancies (blood cancers),Ex-vivo,30,China,No,2023,2025,CRISPR-Cas9,CRISPR-Cas,1,1,0,China,,1,
32,https://crisprmedicinenews.com/clinical-trial/b-cell-non-hodgkin-lymphoma-nhl-nct06321289/,Allogeneic TRAC Locus-inserted CD19-targeting Synthetic T-cell Receptor Antigen Receptor (STAR) T Cells for Relapsed/Refractory B-cell Non-Hodgkin's Lymphoma,B-cell Non-Hodgkin Lymphoma,Haematological malignancies (blood cancers),Ex-vivo,30,China,No,2024,2025,CRISPR-Cas9,CRISPR-Cas,1,1,0,China,,1,
33,https://crisprmedicinenews.com/clinical-trial/blastic-plasmacytoid-dendritic-cell-neoplasm-bpdcn-nct03203369/,"Phase 1, Open-label Dose-escalation and Dose-expansion Study to Evaluate the Safety, Expansion, Persistence and Clinical Activity of a Single Dose of UCART123 (Allogeneic Engineered T-cells Expressing Anti-CD123 Chimeric Antigen Receptor), Administered in Patients With Blastic Plasmacytoid Dendritic Cell Neoplasm (BPDCN)",Blastic Plasmacytoid Dendritic Cell Neoplasm,Haematological malignancies (blood cancers),Ex-vivo,1,United States,Yes,2017,2025,TALENs,Other,1,0,0,United States,,,
34,https://crisprmedicinenews.com/clinical-trial/diffuse-large-b-cell-lymphoma-dlbcl-nct04026100/,A Phase I Clinical Trial of CTA101 UCART Cells Injection in the Treatment of Relapsed or Refractory Diffuse Large B-cell Lymphoma,Diffuse Large B-cell Lymphoma,Haematological malignancies (blood cancers),Ex-vivo,9,China,No,2019,2025,CRISPR-Cas9,CRISPR-Cas,1,0,0,China,,1,
